	S1_a_WGS	S101_a_WGS	S102_a_WGS	S103_a_WGS	S117_a_WGS	S119_a_WGS	S128_a_WGS	S13_a_WGS	S130_a_WGS	S132_a_WGS	S134_a_WGS	S138_a_WGS	S139_a_WGS	S14_a_WGS	S140_a_WGS	S142_a_WGS	S144_a_WGS	S146_a_WGS	S148_a_WGS	S149_a_WGS	S15_a_WGS	S150_a_WGS	S151_a_WGS	S152_a_WGS	S153_a_WGS	S154_a_WGS	S155_a_WGS	S156_a_WGS	S157_a_WGS	S158_a_WGS	S159_a_WGS	S16_a_WGS	S160_a_WGS	S161_a_WGS	S162_a_WGS	S163_a_WGS	S164_a_WGS	S165_a_WGS	S166_a_WGS	S167_a_WGS	S17_a_WGS	S18_a_WGS	S2_a_WGS	S26_a_WGS	S27_a_WGS	S28_a_WGS	S29_a_WGS	S3_a_WGS	S30_a_WGS	S31_a_WGS	S32_a_WGS	S33_a_WGS	S34_a_WGS	S35_a_WGS	S36_a_WGS	S4_a_WGS	S43_a_WGS	S45_a_WGS	S46_a_WGS	S47_a_WGS	S48_a_WGS	S49_a_WGS	S5_a_WGS	S50_a_WGS	S51_a_WGS	S52_a_WGS	S53_a_WGS	S54_a_WGS	S55_a_WGS	S56_a_WGS	S57_a_WGS	S58_a_WGS	S59_a_WGS	S6_a_WGS	S60_a_WGS	S62_a_WGS	S63_a_WGS	S64_a_WGS	S65_a_WGS	S66_a_WGS	S67_a_WGS	S68_a_WGS	S69_a_WGS	S70_a_WGS	S71_a_WGS	S72_a_WGS	S73_a_WGS	S79_a_WGS	S80_a_WGS	S81_a_WGS	S82_a_WGS	S83_a_WGS	S84_a_WGS	S87_a_WGS
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Clostridium_leptum	0	0	0	0	2.97753	0.01634	0.20089	0	0	0.0651	0.02231	0.00177	0	0.01466	0.00431	0.23854	0	0.63213	0	0	0	0	0	0	0	0	0.57331	0	0	0.06576	0	0	0	0	0	0	0.00115	0.00227	0.04244	0.02573	0.00494	0.14302	0	0	0	0	0	0	0	0	0	0.02614	0.07313	0.17366	0	0.03703	0.00127	0	0	0	0	0.02363	0	0.05449	0	0	0	0.01197	0	0	0	0	0	0	0	0	0	0	0.01287	0.06403	0.38357	0	0	0	0	0	0.04706	0.00907	0.02766	0	0	0	0	0.11992
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_turicensis	0	0	0	0	2.2158	0	0.06489	0.0188	0	0	0	0	0	0.04897	0	0	0	0	0	0	0.02002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03457	0	0	0.13818	0.71894	0.28935	0	0	0.01792	0	0	0	0	0	0	0	0.24148	0	0	0	0	0	0	0	0	0	0	0	0	0.05782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00589	0	0	0	0.11643	0.07299	0.11068	0	0.06041	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_minutum	0	0	0	0	0.98751	0	0	0.00795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_83	0	0	0	0	0.64568	1.86388	0.81815	0	0.37263	0.32314	0.10583	0.03394	0	0	0.01138	0.41457	0.19457	0.13108	0	0	0	0	0	0	0	0	0	1.36174	0	0.10132	0.00196	0	0.07389	0	0	0	0	0.32221	0	0.00911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03231	0.08938	0	0.0631	0	0	0.29598	0	0	2.49211	0.34887	0.0422	0.07636	0.14344	0	0	0	0	0	0	0	0	0	0	0	0.00689	0	0	0	0	0.8245	0.0112	0.17416	0.17053	1.1161	0.2849	0.35601	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemanella|s__Holdemanella_biformis	0	0	0	0	0.30828	6.57325	0.99028	0	0	0	0	5.00767	0	0	0.76749	0.19832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8318	0.91066	0	0	0.61006	0	0.07347	0	0	0.22473	0	0.42902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.49542	0.90691	1.37697	3.35246	0.28506	0	0.75564
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri	0	0	0	0	0.21811	1.15312	0	0	0.44931	0	0	0.07182	0	0	5.763	0.86948	0	0	0	0	0	0	0	0	0	0	0	1.55547	0	0	0	0	0	0	0	0	0	0.24135	0.01077	0	0	0	0	0.03009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01051	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis	0	0	0	0	0.15032	0.01287	1.64456	0	0.03981	0.55402	0.27047	0	0	0	0.37381	0.04172	0.08954	3.80769	0	0	0	0	0	0	0.11904	0.8911	3.45329	0.58938	0	0	0.02252	0	0.00398	0	0	0	0	0.11921	0.01388	0.39102	0	0	0.05279	0	0	0	0	0	0	0	0	0	0	0	0	0.22083	0.33636	0	0	0	0	0	0	0.07837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2723	0.52809	0.01278	0.18872	0.03365	0	0.78279	0.13397	0.51453
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella_intestinihominis	0	0	0	0	0.11854	0	0.22437	0	0.07294	0.30807	0	0	0	0	0.19266	0	0.07218	0	0	0	0	0	0	0	0.00471	1.1269	0.28079	0.47303	0	0.01087	0.00261	0	0	0	0	0	0	0.24666	0	0.02702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01623	0.11908	2.3503	0.118	0.04377	0	0	0	0.67811	0	0.03976	0.0457	0.76298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75785	0	0.11406	0.01862	0	0.14926	0.08629	0.39551
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae	0	0	0	0	0.10237	0.10563	0.16981	0.05823	0.32008	0.41402	0.02705	0	0	0.10451	0.54931	0	0.21136	4.46401	0	0	0	0	0	0	0.05022	0.06395	0	1.80285	0	0	0	0	0	0	0	0	0	0	0	0	0.01677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7566	0	0.0098	0	0	0	0.25229	0	0.01259	0.00153	1.49096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07898	0.78069	0	0.9517	0	0	1.5251	0.11966	3.08991
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Gemmiger|s__Gemmiger_formicilis	0	0	0	0	0.09725	0.99624	0.51941	0	0.13242	0.72259	0.31928	0.35931	0.08157	0	0.26097	1.30074	0.54929	0.62879	0	0	0	0	0	0	0.81824	0.45442	0	1.14396	0	0.10155	0.46406	0	0.05249	0.42748	0.29212	0.20236	0.58462	0.89474	0.02866	2.27142	0	0.72823	0	0.47643	0	0	0	0	0	0	0.11833	0.00492	0	0	0.00266	0.49497	0	0.00324	0	0	0	0	0.07885	0.19253	0.21477	0.00351	0	0	0.41575	0	0	0	0	0.74376	0	0	0	0	0	0	0.02257	0	0	0	0	0.04206	0.23863	1.70709	0.18979	0	0.06345	0.14948	0.16033	1.48264
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus	0	0	0	0	0.09449	0.13271	0.32683	0.04286	0.01816	0.01218	0.10187	0	0.01343	0.25702	0.02846	0	0.34621	8.19867	3.09647	0	0.0289	0.12752	0.01272	0.15018	0.008	0.11038	8.57516	0.20268	3.71537	1.56567	0.14708	0.02337	0	0	0	0	0.0094	0.11425	0	0.03164	0.01894	0	0.00617	0	3.60726	0.22978	1.02797	0	0.17126	0.64026	0	0	0	0	0	0.59236	0.78284	0.13062	18.55315	0.16867	0.24288	0	0.12945	0	0.50298	0.04009	0.58213	0.22741	4.87726	0.09123	0.16849	0.22339	0.10252	0.00077	0.13096	0	0	0	0	5.14361	0.10798	1.97323	64.58319	10.79782	0	0.18012	1.67072	0.0165	0	0	0	0	0	0.70504
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_faecis	0	0	0	0	0.08338	1.42914	0.31923	0	0.23208	0.08244	0.97779	0	0.13108	0	0	0.01704	3.61424	2.58874	0	0	0	0	0	0	0.22542	0.95709	2.1668	0	0.45657	9.57978	0.61669	0	0.01639	0.2474	0	0	2.28022	0.32873	0.28048	7.0103	0	0.10943	0	0.01736	0	0	0.10063	0	0	0.07511	0	0	0	0	0	0	0.03117	0	0	0	0	0	0	0.17695	0	0	0	0	1.25608	0	0	0	0	1.78772	0	0	0	0	0	0.44141	0.17906	0	0	0	0	0.09605	1.2773	0.08934	0	0	0	0	0	1.91955
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister|s__Dialister_invisus	0	0	0	0	0.04989	0	1.48574	0	9.16433	0	0	0	0.04564	0	0	5.82465	0.9762	2.01623	0	0	0	0	0	0	0	0	0.07967	0	1.624	0.20585	0.13541	0	0.02122	0	0	0.21015	0	2.52623	0	0	0	0	0	0	0	0	0	0	0	0	0.27634	0	0	0	0.00246	0	0.01731	0	0	0	0	0.60907	0	0.4595	1.13376	0	0	0	4.05772	0	0	0	0	0	1.0148	0.41825	0.34386	0	0	1.04564	0.05139	0	0	0	0.54995	0.30234	0.49907	0	0.2238	0	0	1.86907	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_inulinivorans	0	0	0	0	0.04263	6.67178	0.22469	0.0143	0.62262	0.55065	0.38424	0.0411	0.27362	0	0.86867	0.37317	1.14009	0.41924	0	0	0	0	0	0	0	0	0.52628	1.57492	1.11913	1.72771	0	0	0	0	0	0.13482	0	0	0	0.52458	0	0.29281	0	0	0	0	0	0	0	0	0	0	0	0	0.3809	4.20549	0	0	0	0	0	0	0.07845	0	0	0	0	0	0	0	0	0	0	0	0	0	0.30308	0	0	0.1704	0	0	0	0	0	0.08386	0.01083	0.92485	0.27268	0	0	0.23512	0.14143	0.44099
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bicirculans	0	0	0	0	0.03125	0.48672	0.53492	0.50728	0.15947	0	0.95865	0	0.07847	0	0	0.08763	0.07818	0.39139	0	0	0	0	0	0	0	6.84514	0	2.75501	2.05189	0.5912	0.08567	0	0	0.23158	0.0342	0.00526	0.15649	0	0.00666	0.43022	0	0.04858	0	0	0	0	0	0	0	0	1.51825	0	0	0	0.32765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00118	0	0	0	0	0	4.12441	0.19098	0	0	0	0	0.09049	1.71182	2.33195	0.18322	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sanguinis	0	0	0	0	0.03036	0.07989	0	0	0	0	0	0.02692	0.04972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.081	0	0	0.16553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05062	0	0	0	0	0.00664	0.29411	0	0.0927	0.15289	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_sp_CAG_182	0	0	0	0	0.02961	0	0	0	1.57897	0.02913	0.3525	0	0	0	0	0.0162	0.0598	0	0	0	0	0	0	0	0	0.73881	0	0.27551	0	0	0.04733	0	1.53433	0.52479	0.02884	0.09862	1.68348	1.96322	0.83455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas_funiformis	0	0	0	0	0.02875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06998	0.13204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08432	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_110	0	0	0	0	0.02416	0	0.00978	0	0	0.11021	0.11319	0	0	0	0	0.00461	0	0.02756	0	0	0	0	0	0	0	0.10125	0	0	0	0	0.04777	0	0.00289	0.02853	0	0	0	0	0.07381	0	0	0.05199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02725	0	0.15382
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_eutactus	0	0	0	0	0.02097	7.11438	0	0	0	0	0.10522	0	0	0	0	0.46294	1.25168	9.51728	0	0	0	0	0	0	0.47422	1.22226	0	0	0	0	4.38732	0	0	1.1965	0.01287	0.00639	2.25262	6.45292	1.97457	0	0	3.04508	0	0.26422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.88171	0	0	0	0	0	0	0	0	0	1.48317	0	0	0	0	0	0	0.12551	0	0	0	0	1.25676	0.40915	0	0	0	0	0	0	4.44289
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_eligens	0	0	0	0	0.02092	0	0	0	0.73425	0.34079	0.08854	0.00099	0	0	0	0	0.12089	0.5426	0	0	0	0	0	0	0.20777	0.94688	0.58276	0	0	0	0.08643	0	2.7093	0.0551	0	0.03418	0	0	0	0.03121	0	0	0	0.00438	0	0	0	0	0	0	0	0	0	0	0	0	0.05224	0	0	0	0	0	0.05325	0	0	0	0	0	0.08848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00361	0	0	0.39638	0.31352	0	0	0	0	0.68359
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Catabacteriaceae|g__Catabacter|s__Catabacter_hongkongensis	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0.24913	0	0	0	0	0	0	0.23359	0	0	0	0.00905	0	0	0	0	0	0	0.07751	0	0	0	0	0	0	0	0	0.07935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06319	0.00751	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_OM08_24	0	0	0	0	0.00438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34146	0	0	0	0.00671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17338	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_australis	0	0	0	0	0.00426	0.02013	0	0.01585	0.07342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02789	0	0	0	0	0	0	0	0	0	0.02228	0	0	0.05994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_intestinalis	0	0	0	0	0.00332	0	0	0	0	0	0	0	0.10897	0.00514	0.29912	0.00531	0	0	0	0	0	0	0	0	0.00217	0	0	0	0	0	0.00616	0	0	0	0	0	0	0	0.01229	0.00586	0	0.02784	0	0	0	0	0	0	0	0	0	0	0.00431	0	0.00259	0	0	29.45524	11.01707	36.61786	49.15479	38.35542	0	1.33941	0	3.84393	8.45873	10.29047	0.42878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0022	0	0.00709	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mutans	0	0	0	0	0.00199	0	0	0.04405	0	0	0	0	0.03972	0	0	0.05676	0	0	0	0	0	0.03547	0.0371	0.14235	0	0	0	0	0	0	0.01476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02745	0	0	0.04421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00265	0	0	0	0.38366	0	0	0	0	0	0	0	0	0	0	0.07858	0.22957	0	0.02546	0.27446	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bromii	0	0	0	0	0	4.98588	17.67784	0	0	7.35996	3.4085	10.87181	0	0	4.47172	11.85158	22.47211	0	0	0	0	0	0	0	13.25363	4.04254	0	0	0	0	22.79325	0	0.09303	1.69986	0	13.14587	0	0.38223	46.81611	15.58928	0	6.4734	0	0	0	0	0	0	0	0	0.13704	0	0	0	2.40978	11.38074	21.78623	0	0	0	0	0	0	27.07076	0	0	0	0	0	0	0	0	0	10.32133	0	0	0	0	0	0	15.21049	0	0	0	0	25.1894	20.31649	22.64731	0	0	0	29.35742	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_lactaris	0	0	0	0	0	1.39325	0	0	3.17741	0.04327	0	0.57152	7.55797	0	3.58561	0.07443	0	0	0	0	0	0	0	0	0.42188	0.10795	0	0	0	0	0.61497	0	0.09023	0	0.59272	0.94613	0	0.46025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36166	0	0	0	0	0	0	0	0	0	0.01736	0	0	0	0	0	0	0.23385	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium_succinatutens	0	0	0	0	0	0.67204	0	0	0	0	0	0	0	0.00103	0	0	0	0	0	0	0	0	0	0	0	0	0	7.42981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_sp_CAG_330	0	0	0	0	0	0.3231	0	0	0	0	0	0	0	0	0	0	0	0.1586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05082	0.01912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24135	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Slackia|s__Slackia_isoflavoniconvertens	0	0	0	0	0	0.31454	0	0	0.28994	0	0	0.28659	0.00178	0	0	0.31089	0	0	0	0	0	0	0	0	0	0	0	0.99182	0	0	0.9691	0	1.50726	1.20461	0	0	0.8459	1.21349	0.2607	0	0	0	0	1.02043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.91293	0.20395	0	0	0	0	0	0.21374	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis	0	0	0	0	0	0.247	0.25713	0.05293	0.14101	0.162	0.19886	0	0.03108	0.02539	0.62922	0	0.43484	9.89058	0.3424	0	0	0.18023	0.04659	0.02055	0.15195	0.90806	5.97438	0.94205	0	0.31052	0.19109	0	0.01352	0.03811	0	0	0	0.21041	0.00193	0.22648	0	0.08886	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0.63051	0	0	0	0	0	0	0.04097	0.80656	0	0.02691	0	17.57164	0	0	0.01231	0.11567	0	0.23467	0	0	0	0	0	0	0	0	0	0.00237	0.17173	1.15994	1.10385	0.22442	0	0	3.08928	0.8854	0.22289
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis	0	0	0	0	0	0.13337	0	0	0	0	0	0	0.02679	0	0.02705	0	0.29568	0	0	0	0	0	0	0	0	0.68974	0.66066	2.33225	0.98317	0	0	0	0	0	0.06664	0.07123	0	0	0.03981	0.70647	0.45929	0.09494	0	0	0	0	0	0	0	0	0	0	0	0	0.04241	0	0	0	0	0	0	0	0.34919	0	0	0	0	0	0	0	0	0	0	0.05354	0	0	0	0	0	1.39088	0.04504	0	0	0	0	0.01286	0.13914	1.96814	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospira|s__Lachnospira_pectinoschiza	0	0	0	0	0	0.10784	0	0	0.01439	0	0.10888	0	0	0	0	0	0.27378	0.66585	0	0	0	0	0	0	0	0	2.10354	0	0	0.78137	0	0	0	0	0	0	0.03732	0.94599	0	0.00703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01632	0.02718	0.08217	0.17302	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_parainfluenzae	0	0	0	0	0	0.10696	0	0	0.02231	0	0	0	0	0	0	0	0.09373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.43805	0	0	5.21778	0	0	0	0	0	0	0	0	0	0	0	0	0.47783	0	0	0	0	0	0	0	0	0	0	0	0	0.00597	0	0	0	0.73484	0	0	0	0	0	0	0	0	0.05144	0	0	0.00878	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Eubacterium_siraeum	0	0	0	0	0	0.07828	0.22138	0	0	0	0	0.11293	0	0	1.66032	0	0	0.42712	0	0	0	0	0	0	0.12034	13.18555	0.15454	0	0	0	0	0	0.19476	0	0	0.06325	0	0.08382	0	0	0	0	0	0.0152	0	0	0	0	0	0	0	0	0	0	0	0.34807	0.33501	0	0	0	0	0	0.09323	0.06726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00275	0.04103	0.53987	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_stercorea	0	0	0	0	0	0.07135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified|s__Eubacterium_brachy	0	0	0	0	0	0.05509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0026	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_parvula	0	0	0	0	0	0.03731	0	0	0.15648	0.01281	0	0	0	0	0	0.33279	0.01554	0.82159	0	0	0	0	0	0	0	0	0	0	0	0.0505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.45395	0.03635	15.46958	0	0	14.2924	0.12472	0	0	0	0	0.00279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24546	0	0	0	0.33814	0	0.31838	0	0	0	0	0.04247	0.89495	1.50936	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_dispar	0	0	0	0	0	0.03615	0	0	0	0	0	0	0	0	0	0	0	0.02817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.13613	0	0	1.0689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03759	0	0	0	1.31311	0.01111	0	0	0	0	0	0	0.46978	0.12767	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_infantis	0	0	0	0	0	0.02973	0	0.00663	0	0	0	0.00474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0051	0	0	0	0	0
