	SID5411-1	SID5411-2	SID5411-3	SID5411-4	SID5412-1	SID5412-2	SID5412-3	SID5412-4	SID5413-1	SID5413-2	SID5413-3	SID5413-4	SID5414-1	SID5414-2	SID5414-3	SID5414-4	SID5415-1	SID5415-2	SID5415-3	SID5415-4	SID5416-1	SID5416-2	SID5417-1	SID5417-2	SID5417-3	SID5417-4	SID5418-1	SID5419-1	SID5420-1	SID5420-2	SID5420-3	SID5421-1	SID5421-2	SID5421-3	SID5421-4	SID5423-1	SID5423-2	SID5423-3	SID5423-4	SID5425-1	SID5425-2	SID5425-3	SID5425-4	SID5426-1	SID5427-1	SID5427-2	SID5427-3	SID5427-4	SID5428-1	SID5428-2	SID5428-3	SID5428-4	SID5429-1	SID5429-2	SID5429-3	SID5429-4	SID5433-1	SID5433-2	SID5433-3	SID5433-4	SID5434-1	SID5434-2	SID5434-3	SID5434-4	SID5435-1	SID5435-2	SID5435-3	SID5435-4	SID5438-1	SID5438-2	SID5438-3	SID5438-4	SID5439-1	SID5439-2	SID5439-3	SID5439-4	SID5440-1	SID5440-2	SID5440-3	SID5440-4	SID5441-1	SID5441-2	SID5441-3	SID5441-4	SID5442-1	SID5442-2	SID5442-3	SID5442-4	SID5443-1	SID5443-2	SID5443-3	SID5443-4	SID5444-1	SID5444-2	SID5444-3	SID5444-4	SID5445-1	SID5445-2	SID5445-3	SID5445-4	SID5446-1	SID5446-2	SID5446-3	SID5446-4	SID5448-1	SID5448-2	SID5448-3	SID5448-4	SID5449-1	SID5449-2	SID5449-3	SID5449-4	SID5450-1	SID5450-2	SID5450-3	SID5450-4	SID5451-1	SID5451-2	SID5451-3	SID5451-4	SID5452-1	SID5453-1	SID5453-2	SID5453-3	SID5453-4	SID5454-1	SID5454-2	SID5454-3	SID5454-4	SID5455-1	SID5455-2	SID5455-3	SID5455-4	SID5457-1	SID5457-2	SID5457-3	SID5457-4	SID5458-1	SID5458-2	SID5458-3	SID5458-4	SID5459-1	SID5460-1	SID5460-2	SID5460-3	SID5460-4	SID5461-1	SID5461-2	SID5461-3	SID5461-4	SID5462-1	SID5462-2	SID5462-3	SID5462-4	SID5463-1	SID5463-2	SID5463-3	SID5463-4	SID5465-1	SID5466-1	SID5466-2	SID5466-3	SID5466-4	SID5467-1	SID5467-2	SID5467-3	SID5467-4	SID5468-1	SID5468-2	SID5468-3	SID5468-4	SID5469-1	SID5469-2	SID5469-3	SID5469-4	SID5470-3	SID5470-4	SID5473-1	SID5473-2	SID5473-3	SID5473-4	SID5474-3	SID5474-4	SID5476-1	SID5476-2	SID5476-3	SID5476-4	SID5477-1	SID5477-2	SID5477-3	SID5477-4	SID5478-1	SID5478-2	SID5478-3	SID5478-4	SID5479-1	SID5479-2	SID5479-3	SID5479-4	SID5480-1	SID5480-2	SID5480-3	SID5480-4	SID5481-1	SID5481-2	SID5481-3	SID5481-4
non_westernized	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no
sequencing_platform	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq
PMID	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247	30425247
number_reads	37138442	104623436	42646086	86629592	41744932	63272720	60479452	37110320	59436144	49738404	64317182	41597792	79555112	65919230	60183784	80915840	51197166	52176218	59028002	74602870	136480918	67914776	48708940	51465960	140742654	52830800	49298346	62157630	61024948	20433170	17403804	47057980	64699304	70672238	39867648	85010400	66898102	61665696	66916324	78589248	59823226	72307484	62242612	71785732	70790144	63008822	45956008	43403878	75961892	53793538	48639704	56942692	111915876	77886700	79579230	68069810	82012814	91058048	79501570	58339590	66613248	54863000	65885718	81340452	73350972	19869176	91833880	93811182	78741976	67106862	96789856	61214178	87930658	65364884	81373326	45808680	923824	94385312	84646532	75668508	68838030	76320332	25203988	76212178	46545412	69379418	65758338	50956832	29958992	76458122	65030748	66461394	72762624	62940620	71081330	73374096	78522176	64021356	68369530	75528432	83718280	64203018	72965642	95752344	92026088	96135630	71451034	46422326	74872992	90000524	92988962	57856384	67753218	63446028	65834008	70571540	64334660	88351176	68968880	63647600	55595452	72304230	89127210	92041872	95042558	102196666	85154226	82567190	87655830	116652534	68427690	103401366	76233262	89565918	117906292	99629514	140955558	76904090	135428466	68260600	122121708	60549832	147405836	112220940	141031056	146151296	90870838	139638930	80203384	86047736	70858704	109600658	78315592	117806264	90508874	48114298	39460190	43181968	73252946	54233644	56182928	53246556	58640260	55720456	56875950	1415926	60846814	55799802	46386194	38030588	39962762	73871224	89826996	61983062	52918152	59648184	49978742	55717346	67408888	67051730	53061522	60959596	49286312	93877366	83443080	93522284	98959424	85301892	80264742	85631238	83013374	83935094	104713226	91084270	83985062	103604994	106512712	107110298	85593736	88086934	116800132	90073842	94891280	91828594	94835676	60296704	99118334
number_bases	3713844200	10462343600	4264608600	8662959200	4174493200	6327272000	6047945200	3711032000	5943614400	4973840400	6431718200	4159779200	7955511200	6591923000	6018378400	8091584000	5119716600	5217621800	5902800200	7460287000	13648091800	6791477600	4870894000	5146596000	14074265400	5283080000	4929834600	6215763000	6102494800	2043317000	1740380400	4705798000	6469930400	7067223800	3986764800	8501040000	6689810200	6166569600	6691632400	7858924800	5982322600	7230748400	6224261200	7178573200	7079014400	6300882200	4595600800	4340387800	7596189200	5379353800	4863970400	5694269200	11191587600	7788670000	7957923000	6806981000	8201281400	9105804800	7950157000	5833959000	6661324800	5486300000	6588571800	8134045200	7335097200	1986917600	9183388000	9381118200	7874197600	6710686200	9678985600	6121417800	8793065800	6536488400	8137332600	4580868000	92382400	9438531200	8464653200	7566850800	6883803000	7632033200	2520398800	7621217800	4654541200	6937941800	6575833800	5095683200	2995899200	7645812200	6503074800	6646139400	7276262400	6294062000	7108133000	7337409600	7852217600	6402135600	6836953000	7552843200	8371828000	6420301800	7296564200	9575234400	9202608800	9613563000	7145103400	4642232600	7487299200	9000052400	9298896200	5785638400	6775321800	6344602800	6583400800	7057154000	6433466000	8835117600	6896888000	6364760000	5559545200	7230423000	8912721000	9204187200	9504255800	10219666600	8515422600	8256719000	8765583000	11665253400	6842769000	10340136600	7623326200	8956591800	11790629200	9962951400	14095555800	7690409000	13542846600	6826060000	12212170800	6054983200	14740583600	11222094000	14103105600	14615129600	9087083800	13963893000	8020338400	8604773600	7085870400	10960065800	7831559200	11780626400	9050887400	4811429800	3946019000	4318196800	7325294600	5423364400	5618292800	5324655600	5864026000	5572045600	5687595000	141592600	6084681400	5579980200	4638619400	3803058800	3996276200	7387122400	8982699600	6198306200	5291815200	5964818400	4997874200	5571734600	6740888800	6705173000	5306152200	6095959600	4928631200	9387736600	8344308000	9352228400	9895942400	8530189200	8026474200	8563123800	8301337400	8393509400	10471322600	9108427000	8398506200	10360499400	10651271200	10711029800	8559373600	8808693400	11680013200	9007384200	9489128000	9182859400	9483567600	6029670400	9911833400
minimum_read_length	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
median_read_length	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
NCBI_accession	SRR7989829	SRR7989830	SRR7989965	SRR7989967	SRR7989941	SRR7989915	SRR7989952	SRR7989955	SRR7989979	SRR7989981	SRR7989917	SRR7989918	SRR7989919	SRR7989920	SRR7989921	SRR7989922	SRR7989923	SRR7989924	SRR7989925	SRR7989926	SRR7989961	SRR7989966	SRR7989963	SRR7989962	SRR7989957	SRR7989956	SRR8097418	SRR8097417	SRR8097416	SRR8097415	SRR8097422	SRR7989959	SRR7989958	SRR7989954	SRR7989953	SRR7989990	SRR7989991	SRR7989988	SRR7989989	SRR7989986	SRR7989987	SRR7989984	SRR7989985	SRR8097420	SRR7989982	SRR7989983	SRR7989809	SRR7989808	SRR7989807	SRR7989806	SRR7989813	SRR7989812	SRR7989811	SRR7989810	SRR7989805	SRR7989804	SRR7989839	SRR7989840	SRR7989841	SRR7989842	SRR7989835	SRR7989836	SRR7989837	SRR7989838	SRR7989843	SRR7989844	SRR7989868	SRR7989867	SRR7989870	SRR7989869	SRR7989872	SRR7989871	SRR7989874	SRR7989873	SRR7989876	SRR7989875	SRR7989879	SRR7989880	SRR7989877	SRR7989878	SRR7989883	SRR7989884	SRR7989881	SRR7989882	SRR7989885	SRR7989886	SRR7989891	SRR7989845	SRR7989930	SRR7989927	SRR7989856	SRR7989894	SRR7989916	SRR7989814	SRR7989906	SRR7989905	SRR7989970	SRR7989980	SRR7989887	SRR7989888	SRR7989889	SRR7989890	SRR7989892	SRR7989893	SRR7989928	SRR7989929	SRR7989999	SRR7989998	SRR7989997	SRR7989996	SRR7989995	SRR7989994	SRR7989993	SRR7989992	SRR7990001	SRR7990000	SRR7989971	SRR7989972	SRR7989973	SRR7989974	SRR8097419	SRR7989975	SRR7989976	SRR7989977	SRR7989978	SRR7989968	SRR7989969	SRR7989847	SRR7989846	SRR7989849	SRR7989848	SRR7989851	SRR7989850	SRR7989853	SRR7989852	SRR7989855	SRR7989854	SRR7989817	SRR7989818	SRR7989815	SRR7989816	SRR8097424	SRR7989821	SRR7989822	SRR7989819	SRR7989820	SRR7989823	SRR7989824	SRR7989860	SRR7989859	SRR7989858	SRR7989857	SRR7989864	SRR7989863	SRR7989862	SRR7989861	SRR7989866	SRR7989865	SRR8097423	SRR7989960	SRR7989964	SRR7989831	SRR7989832	SRR7989825	SRR7989826	SRR7989827	SRR7989828	SRR7989833	SRR7989834	SRR7989938	SRR7989937	SRR7989940	SRR7989939	SRR7989934	SRR7989933	SRR7989936	SRR7989935	SRR7989932	SRR7989931	SRR7989903	SRR7989904	SRR7989901	SRR7989902	SRR7989899	SRR7989900	SRR7989897	SRR7989898	SRR7989895	SRR7989896	SRR7989951	SRR7989950	SRR7989949	SRR7989948	SRR7989947	SRR7989946	SRR7989945	SRR7989944	SRR7989943	SRR7989942	SRR7989907	SRR7989908	SRR7989909	SRR7989910	SRR7989911	SRR7989912	SRR7989913	SRR7989914
curator	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato
BMI	30.56747885	30.457013	30.93043808	30.8515339	30.60912152	30.0737768	30.82955758	29.94781334	24.33211084	24.8457174	25.21487212	25.03831986	32.66784964	32.10358678	32.87573595	33.2321125	28.78034607	28.73192149	28.97404442	28.50594008	28.51012332	27.87161535	33.90625	34.00390625	34.375	33.75	29.37944507	28.85352397	30.01736496	29.36222405	29.8684693	31.01248436	31.10405665	31.34824944	30.61567107	25.94135802	26.04938272	26.01851852	25.86419753	27.89509579	28.23237646	28.05381611	27.65701531	29.25049252	30.43506017	30.09990743	30.48293913	29.98818986	25.99090318	26.0593003	26.09349885	26.00800246	28.33333333	30.38580247	29.45987654	29.83024691	31.34503744	30.40219579	31.0070376	31.04261653	26.03656133	26.20785449	27.47542393	26.56757014	31.66888057	31.97077648	31.35188987	30.70281367	32.71352986	33.25774754	32.27009322	32.45149912	27.60896707	27.66737815	28.07625566	27.62843743	27.00886858	27.80017319	27.93454567	27.41198603	31.56951297	31.60431949	30.19465546	30.2642685	24.12661446	23.50669451	23.80827719	23.80827719	26.03243506	26.41601711	26.16029574	26.03243506	28.71817801	27.30106751	28.02408307	27.46013093	31.76670904	32.03478254	31.56565392	31.18029827	28.93662968	29.57933375	29.68395999	29.01136271	29.9336895	28.75244973	29.34306961	29.58468684	25.56058909	26.23781893	26.50871087	26.87634992	35.11887749	35.39815286	35.74724706	36.41052606	21.77357698	21.72652804	21.39046419	21.39046419	25.51988633	28.82150296	NA	28.18058004	27.51962826	30.86442154	31.19102918	31.82609958	31.51763681	29.16324773	29.81332632	30.12030788	30.44534717	24.91211466	25.62195782	25.30083829	25.13182802	25.66901276	26.15830479	26.53468328	26.64759682	27.94009713	21.3205179	21.48566521	21.66732726	21.08931167	30.42502812	30.10173975	30.02989789	31.6283793	26.87087559	26.72483822	26.83436624	26.81611157	27.295163	27.03287764	27.59241974	27.03287764	34.40166864	29.02369934	28.78031402	28.96285301	29.28229624	25.45083263	25.62193066	25.64331792	25.27973459	33.82716049	33.24074074	33.7654321	33.08641975	27.89518174	27.36686391	26.91402005	26.86873566	30.31256256	29.99799823	26.58649003	26.67806233	26.0828424	25.44183633	43.15947919	43.58722428	26.2009764	26.16322283	27.89988698	28.40956015	24.60904271	24.75118881	25.30200493	25.35530971	27.23994258	26.53968699	26.38212948	26.95984034	27.53594806	27.44099652	27.39352074	27.50429755	26.5234699	26.99100225	28.62736548	27.96203098	30.18901729	30.3681806	30.60706501	30.24873839
days_from_first_collection	0	56	107	162	0	60	116	182	0	56	98	154	0	56	99	155	0	56	110	165	0	56	0	57	100	156	NA	NA	0	56	105	0	56	98	154	0	56	112	168	0	56	105	161	NA	0	56	98	154	0	56	98	154	0	56	98	154	0	56	105	161	0	56	113	171	0	56	107	163	0	56	105	161	0	56	98	157	0	59	144	199	0	65	224	280	0	56	98	154	0	56	95	151	0	60	117	173	0	49	168	237	0	56	119	174	0	52	94	150	0	57	100	153	0	52	92	162	0	56	139	194	NA	0	53	98	150	0	66	108	164	0	56	98	149	0	62	118	174	0	56	124	180	NA	0	55	124	180	0	56	175	231	0	56	126	178	0	56	110	168	NA	0	56	177	231	0	57	113	169	0	55	110	166	0	25	160	216	0	49	0	55	160	216	0	56	0	56	112	168	0	57	126	181	0	61	124	180	0	56	108	163	0	58	106	169	0	56	126	182
