	MET0001	MET0002	MET0004	MET0005	MET0006	MET0007	MET0008	MET0009	MET0010	MET0011	MET0012	MET0013	MET0014	MET0015	MET0016	MET0017	MET0020	MET0021	MET0022	MET0023	MET0024	MET0025	MET0026	MET0027	MET0028	MET0029	MET0030	MET0031	MET0032	MET0033	MET0034	MET0035	MET0038	MET0039	MET0040	MET0041	MET0042	MET0043	MET0044	MET0045	MET0046	MET0047	MET0048	MET0049	MET0050	MET0051	MET0052	MET0053	MET0054	MET0055	MET0056	MET0057	MET0060	MET0061	MET0062	MET0064	MET0065	MET0066	MET0067	MET0068	MET0069	MET0070	MET0073	MET0074	MET0075	MET0076	MET0081	MET0082	MET0083	MET0084	MET0085	MET0086	MET0087	MET0088	MET0089	MET0090	MET0091	MET0092	MET0093	MET0094	MET0095	MET0096	MET0097	MET0100	MET0102	MET0103	MET0104	MET0105	MET0106	MET0107	MET0108	MET0109	MET0110	MET0111	MET0112	MET0113	MET0114	MET0115	MET0116	MET0117	MET0118	MET0119	MET0120	MET0121	MET0122	MET0123	MET0124	MET0125	MET0126	MET0127	MET0128	MET0129	MET0130	MET0131	MET0132	MET0133	MET0134	MET0135	MET0136	MET0137	MET0138	MET0139	MET0141	MET0142	MET0143	MET0144	MET0155	MET0156	MET0157	MET0158	MET0159	MET0160	MET0161	MET0162	MET0163	MET0164	MET0165	MET0166	MET0167	MET0168	MET0169	MET0170	MET0171	MET0172	MET0173	MET0174	MET0175	MET0176	MET0177	MET0178	MET0179	MET0180	MET0181	MET0182	MET0183	MET0184	MET0185	MET0186	MET0187	MET0188	MET0189	MET0190	MET0191	MET0192	MET0193	MET0194	MET0195	MET0196	MET0197	MET0198	MET0199	MET0200	MET0201	MET0202	MET0203	MET0204	MET0205	MET0206	MET0207	MET0208	MET0209	MET0210	MET0211	MET0212	MET0213	MET0214	MET0215	MET0216	MET0217	MET0218	MET0219	MET0220	MET0221	MET0222	MET0223	MET0224	MET0225	MET0226	MET0227	MET0228	MET0229	MET0230	MET0231	MET0232	MET0233	MET0234	MET0235	MET0236	MET0237	MET0238	MET0239	MET0240	MET0241	MET0243	MET0244	MET0245	MET0246	MET0247	MET0248	MET0249	MET0250	MET0251	MET0252	MET0253	MET0254	MET0255	MET0256	MET0257	MET0258	MET0259	MET0260	MET0261	MET0262	MET0263	MET0264	MET0265	MET0266	MET0267	MET0268	MET0269	MET0270	MET0271	MET0272	MET0273	MET0274	MET0275	MET0276	MET0277	MET0278	MET0279	MET0280	MET0281	MET0282	MET0283	MET0284	MET0285	MET0286	MET0287	MET0288	MET0289	MET0290	MET0291	MET0292	MET0293	MET0294	MET0295	MET0296	MET0297	MET0298	MET0299	MET0300	MET0301	MET0302	MET0303	MET0304	MET0305	MET0306	MET0307	MET0308	MET0309	MET0310	MET0311	MET0312	MET0313	MET0314	MET0315	MET0316	MET0317	MET0318	MET0319	MET0320
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_sp_HMSC29G08	0	0	0	0	0.04226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01256	0	0	0	0	1.0902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00904	0.00748	0.06439	0	0	0.43284	0.29526	0	0	1.14638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Dermabacteraceae|g__Dermabacter|s__Dermabacter_hominis	0	0	0	0	0.01239	0	0	0	0	0	0	0	0	0	0	0	0	0.48894	0	0	0.00524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.48586	0	0	0	0	0	0	0	0	0	0	0.1733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10278	0.0552	0	0.78854	0	0	0	0	0.11217	0.41189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.42791	0	2.93861	0	0	0	0	0.14275	0	0	0	0.32499	0	0	0	0	0	0	0	0	0	0	0.23684	0	0	0.1042	0.00197	0	0.03808	0	0	0	0.09764	0.05562	0.0184	0.38822	0	0.04128	0.09711	0.04462	0	0	0.01571	0.06208	0	0	0	0	0	0	0.01411	0.02577	0	0.01686	0.01031	0.02076	0.00617	0.06198	0	0	0	1.47472	0	0.0167	0.00128	0	0.09043	0.0625	0.26062	0.27589	0.22639	0.06466	0	0.0089	0.33752	0.07059	0.01581	0	0.23384	0	0	0	0	0	0	0	0	0	0	0	0	0.00424	0	0	0.07156	0	0	0	0	0	0	0	0.0496	0.13476	0.03432	0.01223	0	0.29148	0.02692	0	0.20745	0	0.03412	0.03199	0	0	0	0.02662	0	0.04132	0.10953	0	0.00999	0.01611	0.16743	0.02119	0	0	0.05141	0.02944	0.00579	0	0	0	0	0	0.00305	0.11017	0.01264	0	0	0.26377	0	0	0	0	0	0.00346	0	0	0	0	0	0	0	0	0	0	0.13423	0	0	0.09112	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_tuberculostearicum	0	0	0	0	0.00832	0	0	0	0	0	0	0	0	0	0.01052	0.05407	0	0	0	0.04449	0.80222	0.02388	0	0	0.10044	0	0	0	0	0	0	0	0	0.02517	0	0.01017	0	0	0.02236	0	0	0	0	0	0	0	0	0	0.00778	0	0	0	0	0	0	0.11495	0	0	0.0021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00457	0	0	0.04643	0	0.32156	0	0	0.24153	0.06902	0	1.34163	0	0	0.41344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02312	0.32625	0	0	0	0	0	0	0.0094	0	0	0	0	1.1764	3.80761	0.05072	0.31125	0	0.57043	0.71134	0	0.44665	0	0.09316	0.6268	4.20958	0.82518	0	0	0.2876	0.04436	0.15087	0.06886	0.56687	0.29201	0.50188	2.65753	1.9126	0.1315	0	0.03083	0	0.65047	0.1491	0	0	1.09653	0.68466	0.4946	3.00608	0.8105	1.55119	0.00161	0.49966	0.08416	0.14971	0.44291	0.56167	0	0	0.06469	0.09915	0.04782	0	0.15186	0.17416	0.30454	0.11466	0.02103	0.02471	0.05199	0.47467	0.11585	0.01967	0.00131	0.69183	0	0.05106	0.05851	0.01392	0.04094	0.1459	0.32543	0.46421	0.3405	0.00495	0.04683	0.0168	0.10631	0.01474	0.01972	0.00345	0.31138	0	0	0	0	0	0	0.00301	0.01266	0	0	0	0	0.09832	0	0	0.02287	0	0	0.01735	0.00454	0.032	0.01035	0	0.06831	0.06669	0.0456	0.00813	0	0.18252	0.00939	0.00413	0.13392	0.23379	0.06615	0.17209	0.06751	0.00663	0.03827	0.18216	0.06741	0.13809	0.27895	0.09764	0.02075	0.06905	0.27243	0.08104	0.12221	0.04328	0.03469	0.11553	0.11869	0.00449	0.00128	0.0504	0	0.02979	0.09971	2.50803	0.10388	0.00131	0.01119	0.84908	0.17403	0	0	0.06247	0	0.01785	0	0.00401	0	0	0.00223	0.00676	0.08592	0	0.00087	0	0.3355	0.08512	0	0.08924	0.21251	0.00818
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Brevibacteriaceae|g__Brevibacterium|s__Brevibacterium_paucivorans	0	0	0	0	0.00209	0	0	0	0	0	0	0	0	0	0	0	0.04405	5.05482	0	0	0.07564	0	0	0	0.05472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02312	0	0	0	0.01361	0	0	0.21423	0.012	0	0	0.12549	0	0.01033	0	0	0	0.1474	0.07104	0.07678	0.49813	7e-04	0.37447	0	0.04619	0	0.01756	0.02197	0.05809	0	0	0	0	0	0	0.17437	0.05187	0.01827	0.01789	0.79941	0	0.01054	0.07552	0	0	0	1.86787	1.05121	0	0	0	0	0.00364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03244	0	0	0.18958	0	0	0	0	0	0	0	0.01349	0	0	0.00037	0	0.10158	0.00599	0	0	0.01167	0.00397	0.00693	0	0	0	0	0	0.00637	0	0	0	0	0.00324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00027	0	0	0	0	0	0	0	0	0	0	0.01315	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_simulans	0	0	0	0	0.0012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12347	0	0.00751	0	0	0.02382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.08025	1.33131	1.65224	0	0	0	0.25028	0	18.64907	6.99411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00585	0	0	0.05053	0.09828	0.07667	0.09451	0	0	0.02896	0.09972	0	0	0	1.47842	0	0.26882	0.24926	0	1.19518	0.90244	2.48969	4.21626	3.48438	0.10633	0.03798	0.31524	49.62097	1.5268	0.26976	0.16794	4.11709	46.63175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02833	0	0	0	0	0	0	0	0.00801	0.0084	0	0	0	0.05592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00151	0	0	0	0	0	0	0	0	0	0	0.1032	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Psychrobacter|s__Psychrobacter_fozii	0	0	0	0	0.00085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_cohnii	0	0	0	0	0	0	0	0.01702	7.32305	0.05789	0.06486	0.07473	0.03851	0.23226	84.36525	1.78895	3.92581	0.21246	0	0.53435	0.02854	28.36898	0	0.05919	7.56704	0	0.11525	0	0	0.04606	0	5.51649	0	0	0	0.04658	0	0	54.91936	2.70472	0	0	0	0	0	0	0	0	6.35677	0.99015	1.057	0	0	0	0	0.06358	0.50148	0.27322	0	0.25712	0	0	0	0	0	0	0	0	50.21546	1.44014	0.25466	0	0	0	0	0	0	0.03348	0	0	0	0	0	0	0.14095	0.08337	0	0	1.71178	0.07309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01371	0	0.11651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0036	0.0359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00696	0	0	0.00553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.5324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0076	0	0	0	0	0.06581	0.05197	0	0.01844	0.03134	0.0221	0	0	0	0	0	0	0.00515	0	0	0	0	0	0	0	0	0	0	0.0052	0	0	0	0	0	0	0	0	0	0	0.05736	0.24776	0	0	0.62231	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02887	0	0	0.01651	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Micrococcus|s__Micrococcus_luteus	0	0	0	0	0	0	0	0.00629	0	0	0	0	0	0	0.20466	1.07185	1.87511	0.47676	0.46093	0.7936	0.0813	0.22012	0.02387	0.02264	2.43123	0	0	0	0	0	0	0	0	0.14209	0.28992	0.08066	0.04261	0	0.29345	0.31717	0	0.00572	0	0	0	0	0	0	0.85004	0.10039	0.08753	0	0	0	0.01973	1.26732	3.27216	2.03641	0.00352	5.7564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01988	0	0	0.02945	1.1886	0	0	0	0.87874	0.13672	0.00119	0.28225	21.71083	0.41504	1.62576	0	0	0.05883	0.04636	0	0	0	0	0	0	0	0	0	0	0.28251	0	0	0	0	0	0.35069	0	0.46864	1.44777	0	0.02794	0	0.00591	0.10512	0.02095	0.48372	1.56812	0.18549	0	1.44502	0.0751	0	0	0	0	0	0.15805	0	0	0	0	0	0.25932	0	0	0.03536	0.6511	0.18589	0.491	0.44989	3.78539	4.16437	3.37327	1.58078	0.57189	3.2875	0.00206	0.08525	0	0.61825	0.11767	0.44143	0.37303	3.53381	6.48709	2.30394	3.30246	0.98455	13.01176	0.00596	1.92938	0.23969	0.45227	0.49069	1.38226	0	0	0.01423	0	0	0	0.73121	0.6907	0.33266	0.30054	0.01355	0	0.01	0.03041	0.0205	0.01776	0.00841	0.66664	0.06302	0.03624	0.34737	0	0	0.39062	0.27222	0.32201	0.19946	0.00615	0	0.0056	0	14.68481	0.00459	0.00124	1.61346	3.73265	0	0	0	0	0.00455	0.12382	0.07287	0.05352	0	0.00112	0.35978	1.51954	0	0.03555	0.15683	6.5541	0.48903	0.01102	0.03265	0.10568	0	0.04116	0.71089	0.47398	0.41682	0.03062	0.07448	1.55987	1.08321	0.02138	0.10778	0.40153	0.76729	3.31859	0.06396	0.12807	0.0574	0.16451	0.12295	1.758	3.39021	0.92569	0.87077	0.54769	6.64107	3.73065	0.03801	1.09274	3.22887	1.37165	0.15341	0	0.02275	0	0	0	0.18448	0.05855	0.10845	0.02535	0.00854	0.47518	0.54978	0	0	0.41525	0	0.82162	0.01856	0.42449	0	0.03568	0.00586	0.85288	0.29758	0.45945	0.08272	0.03686	3.72459	8.21008	0.04954	2.1266	3.79309	0.95901
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Micrococcus|s__Micrococcus_aloeverae	0	0	0	0	0	0	0	0.00413	0	0	0	0	0	0.00267	0.00804	0	0	0.12615	0.16682	0.20792	0	0	0	0	0.08284	0	0	0	0	0	0	0	0	0	0	0.02102	0	0	0.0498	0	0	0.00548	0	0	0	0	0	0	0	0	0.03752	0	0	0	0	0.12087	0.34001	0.69071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02043	0	0	0.06782	0	0	0	0	0.07334	0.01668	0	0	7.40219	0.59662	1.1634	0	0	0	0.00817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22916	0	0	0	0	0	0	0.00842	0	0	0.02144	0	0	0.19705	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29468	0	0	0	0	0	0	0	0	0	0.68348	0.19389	0.01072	0	0.00128	0	0	0	0	0.22495	0.18913	0.08674	0.13006	0.10466	0	0.02328	0.20288	0.00381	0.04618	0	0.04473	0	0.04781	0	0	0	0	0	0	0	0	0	0.04578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02285	0	0	0	0	1.1771	0	0	0.05764	0	0	0	0	0	0	0.01379	0	0	0	0	0	0	0	0.00683	0.00427	0.65983	0.11916	0	0.00718	0	0	0.0218	0.0445	0	0.0447	0	0.14036	0.18187	0.04677	0	0	0.03713	0.01808	0.04703	0	0	0	0	0	0.01359	0.04635	0	0	0	0.05612	0	0.02964	0	0.06238	0.04493	0.00418	0	0	0	0	0	0.01433	0	0	0	0.00466	0.04123	0	0	0	0	0	0.12596	0.01406	0.02793	0	0	0	0.04816	0.08342	0.12769	0.00747	0.01216	0.37878	1.02359	0	0.07134	0.17699	0.24709
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Anaerococcus|s__Anaerococcus_octavius	0	0	0	0	0	0	0	0	2.56656	0	0	0.01654	0	0	0	0	0	0	0	0	0.04901	0	0	0	0.06945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.73783	0	0	0	0	0.00903	0	0	0	0	0.0834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0338	0	0	0	0	1.24626	0	0	0	0	0	0	0	0	0	0.00167	0	0.08161	0	0	0	0	0	0.01002	0.00447	0	0	0	0	0	0	0	0	0	0	0.10839	0.39234	3.05433	0	0	0	0	0	0.51407	0.5137	0	0	0	0	0	0	0.03673	0	0	0	0	0	7.99307	0	0	0	0	0	0	0	1.3201	0	0	0	0	0	0	0.09789	0	0.02665	0	0.00948	0	0.0575	1.90506	0	0	0.24566	0	0	0	0	0	0	0.1474	0.01888	0.04146	0.51592	0	0.03319	0.06353	0.02315	0	0	0	0.06218	0	0	0	0	0	0	0	0.02487	0	0	0	5.37125	0.00326	0.0187	0	0	0	0.06935	0	0	0	0	0	0.00199	0.0028	0.00172	0	0	0	0	0	0	0	0	0	0	0	0	0.00513	0	0	0	0	0	0	0	0	0.00595	0	0	0.1032	0	0.00408	0.02935	0.00253	0	0	0	0.06873	0.06219	0.07541	0.00879	0	0.0365	0	0.42838	0	0	0.06593	0.11347	0	0	0	0.03074	0	0.09431	0.17405	0	0	0.00847	0.21315	0.00269	0.51315	0	0.03179	0.03241	0.01615	0.28789	0	0	0	0	0.01486	0.02591	0	0	0	0.09318	0	0	0	0	0	0.00765	0	0	0	0	0	0	0	0	0	0	0.02402	0	0.13761	0.00248	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_auricularis	0	0	0	0	0	0	0	0	0	0	0	6.41169	0	0	0	0	0	0.01128	0.01484	0.03205	0	0	0	0	0.0761	0	0	0	24.67911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01992	0	0	0	12.92056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.47447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1652	0	0	4.59508	0.12997	0.04637	0.02014	0.0406	0	0.05634	0	0	0	0	0	0	0	0	0.0031	0	7.52929	0	0.00549	0.02533	0	0	0	0	0.00989	0	0.00524	0	0	0	0.00687	0	0	2.42613	0	0.09344	0	0.05821	0	0	0.20956	0	0.01503	0	0	0.02708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00126	0	0	0	0.06282	0.00668	0	0	49.27104	0	0.10447	0.0012	0.05342	0.00553	0.01546	0.01784	0	0.06568	0	0	0.09515
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii	0	0	0	0	0	0	0	0	0	0	0	0.12487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.65192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2619	0	0	0	0	0	0	0	0	0.10507	0	0	0	0	0	0	0	0	0	0	0.05303	0	0	0	0	0	0	0	0	0	0.02612	0	0.03079	0.31386	0	0.2004	0	0	0	0	0	0.02226	0	0	0	0	0	0	0.21813	0.09939	0	0.08213	0.00447	0	0.00726	0.23296	0.00859	0	0	0.60116	0	0.00143	0	0	0	0.02766	0.08124	0.10717	0.1042	0	0	0	0	0.03448	0.01031	0.04085	3.04826	0	0	0	0	0	0	0.00172	0	0	0	0	0	0.47176	0	0	0.34606	0	0.11592	0	0.02208	0	0	0	0.07605	0.21195	0.04842	0.04092	0	0.07707	0.01014	0	0	0	0.08421	0.00457	0	0	0	0	0	0.00433	0	0	0	0	0.01611	0	0	0	0.05478	0	0.02512	0	0	0	0	0	0.00708	0.17735	0	0	0	0.57839	0.01077	0	0	0.10517	0	0	0	0	0	0	0	0	0	0	0	0	0.01913	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Fusicatenibacter|s__Fusicatenibacter_saccharivorans	0	0	0	0	0	0	0	0	0	0	0	0.09863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07339	0	0	0	0	0	0	0	0	0	0.01129	0.00157	0	0.15866	0	0.15806	0	0	0	0	0	0.01313	0	0	0	0	0	0	0	0.02692	0	0	0	0	0	0.0175	0	0	0	0.15513	0	0	0	0	0	0.02285	0.04855	0.0529	0.04653	0	0	0	0	0	0.00138	0.01887	1.69923	0	0	0	0	0	0	0	0	0	0	0	0	0.0714	0	0	0.01697	0	0	0	0.00749	0	0	0	0.03645	0.07655	0.01255	0.01217	0	0.03269	0	0	0	0	0.03321	0.0204	0	0	0	0	0	0.02309	0.09361	0	0	0	0.12612	0.00151	0	0	0.05232	0.01103	0.02012	0	0	0	0	0	0	0.17725	0	0	0	0.69205	0	0	0	0.04814	0	0	0	0	0	0	0	0	0	0	0	0	0.00049	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Eubacterium_rectale	0	0	0	0	0	0	0	0	0	0	0	0.03305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02478	0	0	0	0	0	0	0	0	0	0.01007	0	0.00088	0.17573	0	0.11546	0	0	0	0	0	0.01183	0	0	0	0	0	0	0	0.00087	0	0	0	0	0	0.00332	0	0	0	0.01501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1192	0	0	0.05179	0	0.06724	0	0.03228	0.01248	0	0	0.07107	0.24297	0.02976	0.04885	0	0.05758	0.01194	0.00204	0	0.01381	0.08477	0.02666	0	0	0	0	0	0.01462	0.0377	0	0	0	0.12349	0.01619	0	0	0.23421	0.00997	0.00477	0	0	0	0	0	0	0.04144	0.00809	0	0	0	0.00506	0	0	0.04115	0	0	0	0	0	0	0	0	0	0	0	0	0.00328	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus	0	0	0	0	0	0	0	0	0	0	0	0.02806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03886	0	0	0.01275	0	0	0	0	0	0	0	0.00317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00044	0	0	0	0	0.00451	0	0	0	0	0	0.00264	0	0	0	0	0	0	0	0	0	0	0.05671	0	0	0	0.00323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
